P-1 (modmul count/10^7) for stage 2 with b1=5m, b2=150m, bigstep = 330, for various prime-pairing #memory buffers:
#buf	#modmul
  40	8047788
 120	7036479
 200	6488371
 280	6120697
 360	5927827
 440	5764103
 520	5645736
 600	5550700
 680	5481350
 760	5426563
 840	5378130
 920	5339380
1000	5305896
1080	5275177
1160	5247276
1240	5225875
1320	5206908
1400	5188988
1480	5174005
1560	5159755
1640	5147646
1720	5134944
1800	5125084
1880	5115890
1960	5107361
2040	5099600
2120	5092087
2200	5085266
2280	5077999
2360	5072329
